id,start_dt,entry_signal_dt,entry_confirm_dt,exit_signal_dt,exit_confirm_dt,ts_start_ns,ts_end_ns,entry_signal_ts_ns,entry_confirm_ts_ns,exit_signal_ts_ns,exit_confirm_ts_ns,symbol,buy_ex,sell_ex,start_spread,max_spread,end_spread,start_diff,max_diff,end_diff,avg_start,avg_end,dur_above_ms,dur_total_ms,start_buy_ask,start_buy_ask_sz,start_buy_ask_usd,start_sell_bid,start_sell_bid_sz,start_sell_bid_usd,end_buy_ask,end_buy_ask_sz,end_buy_ask_usd,end_sell_bid,end_sell_bid_sz,end_sell_bid_usd,avg_spread
21,2026-05-22 15:14:08.081000+00:00,2026-05-22 15:14:08.081000+00:00,2026-05-22 15:14:08.081000+00:00,2026-05-22 15:14:08.092000+00:00,2026-05-22 15:14:08.092000+00:00,1779462848081000000,1779462848093000000,1779462848081000000,1779462848081000000,1779462848093000000,1779462848093000000,ZBTUSDT,binance,okx,0.3525867042759297,0.3525867042759297,0.01281804781131337,0.300215404313463,0.300215404313463,-0.03955325215115335,0.05237129996246672,0.05237129996246672,0,12,0.15599,1053,164.25747,0.15654,1143,178.92522,0.15603,1053,164.29959,0.15605,456,71.1588,0.05237096010797285
22,2026-05-22 15:14:44.123000+00:00,2026-05-22 15:14:44.123000+00:00,2026-05-22 15:14:44.123000+00:00,2026-05-22 15:14:44.144000+00:00,2026-05-22 15:14:44.144000+00:00,1779462884123000000,1779462884144000000,1779462884123000000,1779462884123000000,1779462884144000000,1779462884144000000,SPACEUSDT,binance,okx,0.32815852581093,0.36616161616161,0,0.3189692567619054,0.3569723471125854,-0.009189269049024649,0.009189269049024649,0.009189269049024649,14,21,0.007923,15185,120.310755,0.007949,60,0.47694,0.007923,3750,29.71125,0.00792,77,0.60984,0.009195836247281798
23,2026-05-22 15:14:46.799000+00:00,2026-05-22 15:14:46.799000+00:00,2026-05-22 15:14:46.799000+00:00,2026-05-22 15:14:46.847000+00:00,2026-05-22 15:14:46.847000+00:00,1779462886799000000,1779462886847000000,1779462886799000000,1779462886799000000,1779462886847000000,1779462886847000000,BEATUSDT,binance,okx,0.4378545128868725,0.4679410593389237,0.1393312101910896,0.3055934697451915,0.3356800161972427,0.007070167049408604,0.132261043141681,0.132261043141681,13,48,1.0049,103,103.5047,1.0093,11,11.1023,1.0048,6,6.028799999999999,1.0062,12,12.0744,0.1322632222796828
24,2026-05-22 15:14:51.475000+00:00,2026-05-22 15:14:51.475000+00:00,2026-05-22 15:14:51.475000+00:00,2026-05-22 15:14:51.519000+00:00,2026-05-22 15:14:51.519000+00:00,1779462891475000000,1779462891519000000,1779462891475000000,1779462891475000000,1779462891519000000,1779462891519000000,BEATUSDT,binance,okx,0.4806729421189692,0.4806729421189692,0.1401120896717331,0.3485315324270798,0.3485315324270798,0.007970679979843687,0.1321414096918894,0.1321414096918894,0,44,0.9986,283,282.6038,1.0034,27,27.0918,0.9992,4,3.9968,1.0006,32,32.0192,0.1321414374468139
25,2026-05-22 15:15:11.754000+00:00,2026-05-22 15:15:11.754000+00:00,2026-05-22 15:15:11.754000+00:00,2026-05-22 15:15:11.772000+00:00,2026-05-22 15:15:11.772000+00:00,1779462911754000000,1779462911772000000,1779462911754000000,1779462911754000000,1779462911772000000,1779462911772000000,BEATUSDT,okx,binance,0.3231186158015418,0.3547949493895396,0.01041666666666552,0.3223932318917203,0.3540695654797181,0.009691282756844014,0.000725383909821506,0.000725383909821506,1,18,0.9594,1,0.9594,0.9625,6,5.775,0.96,10,9.6,0.9601,3814,3661.8214,0.0007270931792466536
26,2026-05-22 15:15:11.794000+00:00,2026-05-22 15:15:11.794000+00:00,2026-05-22 15:15:11.794000+00:00,2026-05-22 15:15:11.814000+00:00,2026-05-22 15:15:11.814000+00:00,1779462911794000000,1779462911814000000,1779462911794000000,1779462911794000000,1779462911814000000,1779462911814000000,BEATUSDT,binance,okx,0.4700720777185781,0.4700720777185781,0.1250390747108449,0.3387560741401513,0.3387560741401513,-0.006276928867581855,0.1313160035784268,0.1313160035784268,0,20,0.9573,22,21.0606,0.9618,27,25.9686,0.9597,12,11.5164,0.9609,2,1.9218,0.1313161107045525
27,2026-05-22 15:15:12.400000+00:00,2026-05-22 15:15:12.400000+00:00,2026-05-22 15:15:12.400000+00:00,2026-05-22 15:15:12.415000+00:00,2026-05-22 15:15:12.415000+00:00,1779462912400000000,1779462912415000000,1779462912400000000,1779462912400000000,1779462912415000000,1779462912415000000,BEATUSDT,okx,binance,0.4290947148089997,0.7666456626759055,0,0.4283679622807564,0.7659189101476621,-0.0007267525282433595,0.0007267525282433595,0.0007267525282433595,14,15,0.9555,36,34.398,0.9596,212,203.4352,0.9523,29,27.6167,0.9515,1624,1545.236,0.0007440983844357108
28,2026-05-22 15:15:12.443000+00:00,2026-05-22 15:15:12.443000+00:00,2026-05-22 15:15:12.443000+00:00,2026-05-22 15:15:12.468000+00:00,2026-05-22 15:15:12.468000+00:00,1779462912443000000,1779462912468000000,1779462912443000000,1779462912443000000,1779462912468000000,1779462912468000000,BEATUSDT,binance,okx,0.5179156537363814,0.5285412262156454,0,0.3866352920517406,0.3972608645310046,-0.1312803616846407,0.1312803616846407,0.1312803616846407,10,25,0.9461,22,20.8142,0.951,11,10.461,0.9472,468,443.2896,0.9465,10,9.465,0.1312829622131368
29,2026-05-22 15:15:22.459000+00:00,2026-05-22 15:15:22.459000+00:00,2026-05-22 15:15:22.459000+00:00,2026-05-22 15:15:22.468000+00:00,2026-05-22 15:15:22.468000+00:00,1779462922459000000,1779462922468000000,1779462922459000000,1779462922459000000,1779462922468000000,1779462922468000000,BEATUSDT,okx,binance,0.3676470588235355,0.3992015968063899,0,0.3669105885998033,0.3984651265826577,-0.000736470223732244,0.000736470223732244,0.000736470223732244,6,9,0.952,27,25.704,0.9555,92,87.906,0.9526,10,9.526,0.952,4098,3901.296,0.0007376437717450156
30,2026-05-22 15:15:22.576000+00:00,2026-05-22 15:15:22.576000+00:00,2026-05-22 15:15:22.576000+00:00,2026-05-22 15:15:22.589000+00:00,2026-05-22 15:15:22.589000+00:00,1779462922576000000,1779462922589000000,1779462922576000000,1779462922576000000,1779462922589000000,1779462922589000000,BEATUSDT,okx,binance,0.4339083500899559,0.5721551176096706,0.01059658789869545,0.4331694947191074,0.5714162622388221,0.009857732527846996,0.0007388553708484566,0.0007388553708484566,11,13,0.9449,5,4.7245,0.949,103,97.747,0.9437,73,68.8901,0.9438,1081,1020.2478,0.0007406271908170964
